"","WT.sham.1","WT.sham.2","WT.sham.3","WT.isc.1","WT.isc.2","WT.isc.3","Trans.sham.1","Trans.sham.2","Trans.sham.3","Trans.isc.1","Trans.isc.2","Trans.isc.3"
"Baiap3",5.90598108656705,6.42061257472478,6.08887411343065,6.39962236477309,6.22326161315846,7.31416060377235,8.44986151425254,8.15779133375243,8.76614074801721,7.72401186675613,7.76431866954589,8.09907609637467
"Gbp3",6.53111367312425,6.62353801483834,6.29623083369863,8.35640767747151,8.30966387283243,8.55164540204832,7.21753841831871,7.27825565016452,6.37855047759195,6.83425427886857,7.57969766400936,7.72602313270351
"Pgam2",6.34191564213107,6.84700011433478,7.20830671956812,6.36239005047038,6.5195807035295,6.61798012167,8.42825315826557,8.10518485712819,8.46449748289385,7.78625109085773,7.45797643680118,7.83402194236856
"Rrad",5.72183641646104,5.27220478693297,5.70211204662653,8.39821699206528,8.64862317595753,8.97048346187836,6.10831490180406,6.04890222090672,6.16831780525181,7.73419955627459,7.78841582599218,8.01072699539037
"Sorcs1",5.60128418004561,5.39728342011753,5.22095590344227,5.86102476273646,5.35232282758367,5.76363641965047,6.42258409107563,6.56438021724702,6.32151833269019,6.4596155813386,6.39963609888304,6.40480028272464
"Vstm2b",8.41750197638287,8.4752092684198,8.54628376928714,8.66474857586419,8.51486060385838,8.65078740075628,9.47890099150418,9.34157204691843,9.72023643856356,9.15945999649351,8.83408822582006,9.20887674242889
"Trp53inp1",9.06154047050111,8.94305554677215,8.89408505908432,9.54843950176084,9.49290611304399,9.43944667423069,9.62577855046356,9.8847770503385,10.5338674888888,10.4513331481532,10.4344121630635,10.5867805665976
"Ngb",6.02373755875428,6.26388455560777,6.33539650264914,6.05029768439655,6.78211146930699,7.43290322644809,8.14339869781056,7.79232531576787,8.31699680453586,7.58675959795677,7.52224174954415,7.88272870355982
"Isoc1",8.82314373219152,8.75878469119477,9.06764174110052,8.7485834199058,9.02272567939004,8.97421544766376,10.1015082476511,9.94030628200239,10.2858587405095,9.53987470003834,9.60089416697056,9.88467136204294
"Kdf1",5.57022575313076,5.22636157148335,5.48242277501838,5.31717150188748,5.47391026617813,5.42766763212704,7.75569915911474,7.82089264910619,7.38811702267981,7.22407708066448,7.02267252261214,7.28255119064876
"Zfp688",7.11708076470407,6.46436640050496,7.55332812873493,6.56310709851856,6.56729026603419,5.50595631924819,7.88555002881752,7.53354529589912,7.56840733797135,7.69413247426287,7.12216852616738,7.5787232270445
"Smc4",7.47694630665045,6.96478305835554,7.2554433177623,7.89305601626084,8.31234930985489,7.13713980356741,8.26939728901707,8.58940807707823,8.66330705727113,8.31224727262951,8.3409468020006,8.73219711630473
"Plxdc1",7.17300542386042,7.24079405876564,7.0719642405035,6.91507511251138,6.5928042178785,7.039385539759,8.14311825357188,7.85947804557589,8.32213598575363,8.20124675976647,8.04621624143564,7.55041241327331
"Ripk4",6.10505579204047,6.33675535295342,6.14691537589615,6.16962611786611,6.38429275223803,6.5626141693641,7.0391382050331,6.96890599230522,7.28832324676302,7.76951376631219,7.54697029518283,7.72967243417566
"Cnih3",8.26030046559644,8.00773345479061,8.6594921658389,8.63403266546461,8.36194438256296,8.60495662858179,9.72134670988401,9.42057723807303,9.63480347375913,9.39725389636489,9.43990088518324,9.43481811154612
"Dmkn",6.63780540315199,6.46453944925923,6.93454335049214,7.59404936561176,7.65837224073041,8.76823580355751,6.19163704008431,6.51062301852208,6.66466539248027,6.34010132237491,7.06785260600261,6.91357658593936
"Arpp21",9.61139074975341,9.92424346442258,10.276444969641,11.2940138953074,10.3236556272937,10.9856893509281,11.1993234200751,11.0847754064941,11.0157948659087,10.8733076229858,11.1857582255269,11.0467444387238
"Wdr6",9.72895442886922,9.51541898766404,10.1447463988377,9.88588557506253,9.86239651466526,10.1192841402941,11.0127474146002,10.6740950524463,11.1960898651901,10.7274433634823,10.6446011482603,11.0550954486326
"Gpnmb",6.78557158711877,6.86924233101594,7.21292406677389,7.48184654773166,7.60615497370655,8.04527309186484,8.94526436431847,8.13873391011352,8.45339920142006,8.60343449804731,8.72532395055236,8.40336074984797
"Amn",6.48781982785543,6.86773531160559,6.7278433267805,7.14574246980908,7.41102621155467,7.43814307992739,8.25873295196306,7.8578611832871,8.97737100427268,9.31021900647643,8.81622510351172,8.96248118421287
"Pcdhb20",8.29981290617683,7.97710819235734,8.4126645447559,7.43938040583705,7.78116502869413,7.28157262435677,9.728192254569,9.64287990313733,9.77677169418042,9.03575120321524,8.51574097114224,8.83221705968088
"Pcdhb21",7.01649081672298,6.96444670303609,7.02903432906952,6.08462028848466,7.07000813655278,6.68863007547887,9.06055100048075,8.53830744440606,8.76455637305025,7.65903392022745,7.79806161429654,8.0366086694951
"Pcdhb22",6.5404473174791,6.15156934129959,6.30698551735348,6.87426378346613,6.82560418194375,6.56127860817822,9.00030630875639,8.49991682516795,9.04332548717851,8.24316060437255,8.19279797693341,8.25199745397701
"Hrh3",8.10519267634888,8.26690928097957,7.98960804537847,8.38219740807052,8.05156991995841,8.35806506160453,9.89921644634874,9.6405062038294,9.79721506712561,9.6067095015706,9.2679891233656,9.49693419468568
