"","WT.sham.1","WT.sham.2","WT.sham.3","WT.isc.1","WT.isc.2","WT.isc.3","Trans.sham.1","Trans.sham.2","Trans.sham.3","Trans.isc.1","Trans.isc.2","Trans.isc.3"
"1424376_at",8.05807780721374,8.12281038819066,7.95584623282004,8.04923741106704,8.57347583524579,8.48978457922612,7.35412524737307,8.17764637511089,7.38704631538623,7.48669481641208,8.30498254106037,8.07899375773293
"1416312_at",9.86137775061738,9.75418250278296,9.88828907481165,10.4184825337753,10.3447892345692,10.6356613056521,9.84964917721892,9.81523344846412,9.82491433914332,10.1932212013461,10.4578840664832,10.3791763271702
"1423198_a_at",7.28435845795739,7.04136013667891,7.16319551212078,7.3113187958105,7.15667734687253,6.55347577046524,6.70907320108528,6.9669723971301,6.8271928096135,7.41690129725428,7.27417943431443,6.80066355259516
"1433502_s_at",7.55353316603581,7.47577377641465,8.096983417804,8.83897088945533,8.65082743861472,9.18036421157692,8.04031113794918,7.8092040461118,7.98385536762343,8.45688153906316,8.87156672749186,8.7704516115499
"1417884_at",7.82872864544155,7.75561456250872,7.56343994151362,8.30945406432488,8.57768521377462,8.4206745632469,7.29739430810091,7.46034144447867,7.53492166501694,8.39535449667078,8.28795793538174,8.50527697426767
"1452337_at",5.8842902390627,5.38659726427465,5.91282753520414,5.35576164884197,5.78910813320292,6.06582807361573,5.68854164964913,5.80340721280078,5.74934738423224,5.97562269091952,5.26191336211279,5.78478249596384
"1449076_x_at",8.76043516595382,9.23539631679403,8.12930759765914,9.17147243055639,8.86417950479057,8.29623844380463,8.71479884449931,9.08892332956669,9.48321690451488,8.6059247035857,8.15329180215602,7.96091517811066
"1453864_at",8.0539552274152,8.08612018030469,7.98213181262214,7.29240070057036,7.58079619668073,7.97256349137486,7.90758879072562,7.78785882881385,8.114203016875,6.96637171632212,7.32934100693613,7.40973271245494
"1418538_at",6.05454809879267,5.99452873947402,5.27797548349626,6.79325123901883,7.24980096706639,7.38152712056546,5.34265167178684,5.51239621569378,5.63234176940135,6.38284951660674,6.28193712390915,6.3793810816347
"1451578_at",5.48905328290583,5.81852907584994,5.64050039267851,5.34321442727683,5.80752496435135,6.15934196920582,6.1302048779542,6.02796487150669,6.39288065634537,5.95420719476755,6.20162779541074,6.25086861130897
"1449491_at",7.60290091247256,7.96448283676885,7.84364389751883,7.60011934998893,7.7263547352877,8.47858974170502,9.23192703494503,9.14075990009642,9.39123384061028,9.19513416573739,9.00290783073874,9.26826619263508
"1427042_at",10.3446455641888,9.96158550768712,10.0567350710431,10.3170995856307,10.1677539929206,9.09009787910739,9.71745065326795,9.86122920362699,9.48236318028408,9.83656728090464,9.59130207334719,9.56221008836787
